DateSK,DateAK,DatetimeAK,CalendarYear,CalendarYearLabel,CalendarQuarter,CalendarYearQuarter,CalendarQuarterLabel,CalendarMonth,CalendarYearMonth,CalendarMonthLabel,CalendarMonthAbbreviation,DayNumberOfYear,CalendarYearDay,CalendarWeek,CalendarWeekLabel,CalendarYearWeek,CalendarDayOfWeek,CalendarDayOfWeekLabel,IsWorkDay,NorthAmericaSeason,EuropeSeason,AsiaSeason
20050101,2005-01-01,2005-01-01 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,1,2005001,1,1,200501,7,Sat,0,Spring/Back to Business,Holiday,Holiday
20050102,2005-01-02,2005-01-02 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,2,2005002,2,2,200502,1,Sun,0,Spring/Back to Business,Holiday,Holiday
20050103,2005-01-03,2005-01-03 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,3,2005003,2,2,200502,2,Mon,1,Spring/Back to Business,Holiday,Holiday
20050104,2005-01-04,2005-01-04 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,4,2005004,2,2,200502,3,Tue,1,Spring/Back to Business,Holiday,Holiday
20050105,2005-01-05,2005-01-05 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,5,2005005,2,2,200502,4,Wed,1,Spring/Back to Business,Holiday,Holiday
20050106,2005-01-06,2005-01-06 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,6,2005006,2,2,200502,5,Thu,1,Spring/Back to Business,Holiday,Holiday
20050107,2005-01-07,2005-01-07 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,7,2005007,2,2,200502,6,Fri,1,Spring/Back to Business,Holiday,Holiday
20050108,2005-01-08,2005-01-08 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,8,2005008,2,2,200502,7,Sat,0,Spring/Back to Business,Holiday,Holiday
20050109,2005-01-09,2005-01-09 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,9,2005009,3,3,200503,1,Sun,0,Spring/Back to Business,Holiday,Holiday
20050110,2005-01-10,2005-01-10 00:00:00.000,2005,2005,1,200501,Q1,1,200501,January,Jan,10,2005010,3,3,200503,2,Mon,1,Spring/Back to Business,Holiday,Holiday
