DateSK	DateAK	DatetimeAK	CalendarYear	CalendarYearLabel	CalendarQuarter	CalendarYearQuarter	CalendarQuarterLabel	CalendarMonth	CalendarYearMonth	CalendarMonthLabel	CalendarMonthAbbreviation	DayNumberOfYear	CalendarYearDay	CalendarWeek	CalendarWeekLabel	CalendarYearWeek	CalendarDayOfWeek	CalendarDayOfWeekLabel	IsWorkDay	NorthAmericaSeason	EuropeSeason	AsiaSeason
20050101	01-01-2005	01-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	1	2005001	1	1	200501	7	Sat	0	Spring/Back to Business	Holiday	Holiday
20050102	02-01-2005	02-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	2	2005002	2	2	200502	1	Sun	0	Spring/Back to Business	Holiday	Holiday
20050103	03-01-2005	03-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	3	2005003	2	2	200502	2	Mon	1	Spring/Back to Business	Holiday	Holiday
20050104	04-01-2005	04-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	4	2005004	2	2	200502	3	Tue	1	Spring/Back to Business	Holiday	Holiday
20050105	05-01-2005	05-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	5	2005005	2	2	200502	4	Wed	1	Spring/Back to Business	Holiday	Holiday
20050106	06-01-2005	06-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	6	2005006	2	2	200502	5	Thu	1	Spring/Back to Business	Holiday	Holiday
20050107	07-01-2005	07-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	7	2005007	2	2	200502	6	Fri	1	Spring/Back to Business	Holiday	Holiday
20050108	08-01-2005	08-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	8	2005008	2	2	200502	7	Sat	0	Spring/Back to Business	Holiday	Holiday
20050109	09-01-2005	09-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	9	2005009	3	3	200503	1	Sun	0	Spring/Back to Business	Holiday	Holiday
20050110	10-01-2005	10-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	10	2005010	3	3	200503	2	Mon	1	Spring/Back to Business	Holiday	Holiday
20050111	11-01-2005	11-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	11	2005011	3	3	200503	3	Tue	1	Spring/Back to Business	Holiday	Holiday
20050112	12-01-2005	12-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	12	2005012	3	3	200503	4	Wed	1	Spring/Back to Business	Holiday	Holiday
20050113	13-01-2005	13-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	13	2005013	3	3	200503	5	Thu	1	Spring/Back to Business	Holiday	Holiday
20050114	14-01-2005	14-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	14	2005014	3	3	200503	6	Fri	1	Spring/Back to Business	Holiday	Holiday
20050115	15-01-2005	15-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	15	2005015	3	3	200503	7	Sat	0	Spring/Back to Business	Holiday	Holiday
20050116	16-01-2005	16-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	16	2005016	4	4	200504	1	Sun	0	Spring/Back to Business	Holiday	Holiday
20050117	17-01-2005	17-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	17	2005017	4	4	200504	2	Mon	1	Spring/Back to Business	Holiday	Holiday
20050118	18-01-2005	18-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	18	2005018	4	4	200504	3	Tue	1	Spring/Back to Business	Holiday	Holiday
20050119	19-01-2005	19-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	19	2005019	4	4	200504	4	Wed	1	Spring/Back to Business	Holiday	Holiday
20050120	20-01-2005	20-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	20	2005020	4	4	200504	5	Thu	1	Spring/Back to Business	Holiday	Holiday
20050121	21-01-2005	21-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	21	2005021	4	4	200504	6	Fri	1	Spring/Back to Business	Holiday	Holiday
20050122	22-01-2005	22-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	22	2005022	4	4	200504	7	Sat	0	Spring/Back to Business	Holiday	Holiday
20050123	23-01-2005	23-01-2005 12:00:00 AM	2005	2005	1	200501	Q1	1	200501	January	Jan	23	2005023	5	5	200505	1	Sun	0	Spring/Back to Business	Holiday	Holiday
