CurrencyDateSK,CurrencyDateKey,CurrencyKey,CurrencyName,EndOfDayRate
20120101,01-01-2012,7,EUR,0.7714
20120102,02-01-2012,7,EUR,0.7728
20120103,03-01-2012,7,EUR,0.769
20120104,04-01-2012,7,EUR,0.769
20120105,05-01-2012,7,EUR,0.7769
20120106,06-01-2012,7,EUR,0.7831
20120107,07-01-2012,7,EUR,0.7859
20120108,08-01-2012,7,EUR,0.7862
20120109,09-01-2012,7,EUR,0.7857
20120110,10-01-2012,7,EUR,0.7825
20120111,11-01-2012,7,EUR,0.7853
20120112,12-01-2012,7,EUR,0.7842
20120113,13-01-2012,7,EUR,0.7826
20120114,14-01-2012,7,EUR,0.7883
20120115,15-01-2012,7,EUR,0.7886
20120116,16-01-2012,7,EUR,0.79
20120117,17-01-2012,7,EUR,0.7855
20120118,18-01-2012,7,EUR,0.7816
20120119,19-01-2012,7,EUR,0.776
20120120,20-01-2012,7,EUR,0.7726
20120121,21-01-2012,7,EUR,0.7729
20120122,22-01-2012,7,EUR,0.7733
20120123,23-01-2012,7,EUR,0.7722
20120124,24-01-2012,7,EUR,0.7687
20120125,25-01-2012,7,EUR,0.7683
20120126,26-01-2012,7,EUR,0.7618
20120127,27-01-2012,7,EUR,0.7616
20120128,28-01-2012,7,EUR,0.7561
20120129,29-01-2012,7,EUR,0.7562
20120130,30-01-2012,7,EUR,0.7603
20120131,31-01-2012,7,EUR,0.7604
20120201,01-02-2012,7,EUR,0.7624
20120202,02-02-2012,7,EUR,0.7601
20120203,03-02-2012,7,EUR,0.761
20120204,04-02-2012,7,EUR,0.7598
20120205,05-02-2012,7,EUR,0.7601
20120206,06-02-2012,7,EUR,0.7639
20120207,07-02-2012,7,EUR,0.7601
20120208,08-02-2012,7,EUR,0.7541
20120209,09-02-2012,7,EUR,0.7533
20120210,10-02-2012,7,EUR,0.7554
20120211,11-02-2012,7,EUR,0.7575
20120212,12-02-2012,7,EUR,0.7574
20120213,13-02-2012,7,EUR,0.7555
20120214,14-02-2012,7,EUR,0.76
20120215,15-02-2012,7,EUR,0.7618
20120216,16-02-2012,7,EUR,0.7668
20120217,17-02-2012,7,EUR,0.7608
20120218,18-02-2012,7,EUR,0.7605
20120219,19-02-2012,7,EUR,0.7599
20120220,20-02-2012,7,EUR,0.756
20120221,21-02-2012,7,EUR,0.7551
20120222,22-02-2012,7,EUR,0.7555
20120223,23-02-2012,7,EUR,0.7527
20120224,24-02-2012,7,EUR,0.7461
20120225,25-02-2012,7,EUR,0.7431
20120226,26-02-2012,7,EUR,0.743
20120227,27-02-2012,7,EUR,0.7447
20120228,28-02-2012,7,EUR,0.7445
20120229,29-02-2012,7,EUR,0.7442
20120301,01-03-2012,7,EUR,0.7503
20120302,02-03-2012,7,EUR,0.754
20120303,03-03-2012,7,EUR,0.7574
20120304,04-03-2012,7,EUR,0.7575
20120305,05-03-2012,7,EUR,0.7573
20120306,06-03-2012,7,EUR,0.7592
20120307,07-03-2012,7,EUR,0.7613
20120308,08-03-2012,7,EUR,0.7574
20120309,09-03-2012,7,EUR,0.7571
20120310,10-03-2012,7,EUR,0.7617
20120311,11-03-2012,7,EUR,0.7618
20120312,12-03-2012,7,EUR,0.7623
20120313,13-03-2012,7,EUR,0.7616
20120314,14-03-2012,7,EUR,0.766
20120315,15-03-2012,7,EUR,0.7662
20120316,16-03-2012,7,EUR,0.7628
20120317,17-03-2012,7,EUR,0.7587
20120318,18-03-2012,7,EUR,0.7587
20120319,19-03-2012,7,EUR,0.7584
20120320,20-03-2012,7,EUR,0.7561
20120321,21-03-2012,7,EUR,0.7552
20120322,22-03-2012,7,EUR,0.7576
20120323,23-03-2012,7,EUR,0.7557
20120324,24-03-2012,7,EUR,0.7533
20120325,25-03-2012,7,EUR,0.7533
20120326,26-03-2012,7,EUR,0.7528
20120327,27-03-2012,7,EUR,0.7492
20120328,28-03-2012,7,EUR,0.7504
20120329,29-03-2012,7,EUR,0.7518
20120330,30-03-2012,7,EUR,0.7497
20120331,31-03-2012,7,EUR,0.7492
20120401,01-04-2012,7,EUR,0.7491
20120402,02-04-2012,7,EUR,0.7497
20120403,03-04-2012,7,EUR,0.7506
20120404,04-04-2012,7,EUR,0.759
20120405,05-04-2012,7,EUR,0.763
20120406,06-04-2012,7,EUR,0.7647
20120407,07-04-2012,7,EUR,0.7634
20120408,08-04-2012,7,EUR,0.7633
20120409,09-04-2012,7,EUR,0.7645
20120410,10-04-2012,7,EUR,0.7633
20120411,11-04-2012,7,EUR,0.763
20120412,12-04-2012,7,EUR,0.7607
20120413,13-04-2012,7,EUR,0.7608
20120414,14-04-2012,7,EUR,0.7643
20120415,15-04-2012,7,EUR,0.7644
20120416,16-04-2012,7,EUR,0.7661
20120417,17-04-2012,7,EUR,0.7617
20120418,18-04-2012,7,EUR,0.7627
20120419,19-04-2012,7,EUR,0.762
20120420,20-04-2012,7,EUR,0.7591
20120421,21-04-2012,7,EUR,0.7562
20120422,22-04-2012,7,EUR,0.7566
20120423,23-04-2012,7,EUR,0.7597
20120424,24-04-2012,7,EUR,0.7592
20120425,25-04-2012,7,EUR,0.7573
20120426,26-04-2012,7,EUR,0.756
20120427,27-04-2012,7,EUR,0.7565
20120428,28-04-2012,7,EUR,0.7542
20120429,29-04-2012,7,EUR,0.7543
20120430,30-04-2012,7,EUR,0.7555
20120501,01-05-2012,7,EUR,0.755
20120502,02-05-2012,7,EUR,0.7583
20120503,03-05-2012,7,EUR,0.7606
20120504,04-05-2012,7,EUR,0.7614
20120505,05-05-2012,7,EUR,0.764
20120506,06-05-2012,7,EUR,0.7643
