CurrencyDateSK,CurrencyDateKey,CurrencyKey,CurrencyName,EndOfDayRate
20120101,01-01-2012,23,CNY,6.329
20120102,02-01-2012,23,CNY,6.3343
20120103,03-01-2012,23,CNY,6.3222
20120104,04-01-2012,23,CNY,6.3127
20120105,05-01-2012,23,CNY,6.3166
20120106,06-01-2012,23,CNY,6.3211
20120107,07-01-2012,23,CNY,6.301
20120108,08-01-2012,23,CNY,6.301
20120109,09-01-2012,23,CNY,6.316
20120110,10-01-2012,23,CNY,6.3069
20120111,11-01-2012,23,CNY,6.3074
20120112,12-01-2012,23,CNY,6.31
20120113,13-01-2012,23,CNY,6.3058
20120114,14-01-2012,23,CNY,6.2875
20120115,15-01-2012,23,CNY,6.2875
20120116,16-01-2012,23,CNY,6.3049
20120117,17-01-2012,23,CNY,6.3019
20120118,18-01-2012,23,CNY,6.2949
20120119,19-01-2012,23,CNY,6.2937
20120120,20-01-2012,23,CNY,6.2982
20120121,21-01-2012,23,CNY,6.2805
20120122,22-01-2012,23,CNY,6.2805
20120123,23-01-2012,23,CNY,6.294
20120124,24-01-2012,23,CNY,6.2946
20120125,25-01-2012,23,CNY,6.2953
20120126,26-01-2012,23,CNY,6.2881
20120127,27-01-2012,23,CNY,6.284
20120128,28-01-2012,23,CNY,6.2635
20120129,29-01-2012,23,CNY,6.2635
20120130,30-01-2012,23,CNY,6.2873
20120131,31-01-2012,23,CNY,6.292
20120201,01-02-2012,23,CNY,6.2911
20120202,02-02-2012,23,CNY,6.2879
20120203,03-02-2012,23,CNY,6.2888
20120204,04-02-2012,23,CNY,6.2676
20120205,05-02-2012,23,CNY,6.2676
20120206,06-02-2012,23,CNY,6.2876
20120207,07-02-2012,23,CNY,6.2905
20120208,08-02-2012,23,CNY,6.2858
20120209,09-02-2012,23,CNY,6.2856
20120210,10-02-2012,23,CNY,6.2869
20120211,11-02-2012,23,CNY,6.267
20120212,12-02-2012,23,CNY,6.267
20120213,13-02-2012,23,CNY,6.2846
20120214,14-02-2012,23,CNY,6.2912
20120215,15-02-2012,23,CNY,6.2925
20120216,16-02-2012,23,CNY,6.2954
20120217,17-02-2012,23,CNY,6.2927
20120218,18-02-2012,23,CNY,6.2712
20120219,19-02-2012,23,CNY,6.2713
20120220,20-02-2012,23,CNY,6.2865
20120221,21-02-2012,23,CNY,6.2923
20120222,22-02-2012,23,CNY,6.2939
20120223,23-02-2012,23,CNY,6.2945
20120224,24-02-2012,23,CNY,6.2936
20120225,25-02-2012,23,CNY,6.2724
20120226,26-02-2012,23,CNY,6.2724
20120227,27-02-2012,23,CNY,6.294
20120228,28-02-2012,23,CNY,6.296
20120229,29-02-2012,23,CNY,6.2916
20120301,01-03-2012,23,CNY,6.295
20120302,02-03-2012,23,CNY,6.2931
20120303,03-03-2012,23,CNY,6.2733
20120304,04-03-2012,23,CNY,6.2733
20120305,05-03-2012,23,CNY,6.299
20120306,06-03-2012,23,CNY,6.3098
20120307,07-03-2012,23,CNY,6.3132
20120308,08-03-2012,23,CNY,6.3123
20120309,09-03-2012,23,CNY,6.308
20120310,10-03-2012,23,CNY,6.2865
20120311,11-03-2012,23,CNY,6.2865
20120312,12-03-2012,23,CNY,6.3151
20120313,13-03-2012,23,CNY,6.3264
20120314,14-03-2012,23,CNY,6.3356
20120315,15-03-2012,23,CNY,6.3299
20120316,16-03-2012,23,CNY,6.319
20120317,17-03-2012,23,CNY,6.299
20120318,18-03-2012,23,CNY,6.299
20120319,19-03-2012,23,CNY,6.3125
20120320,20-03-2012,23,CNY,6.3193
20120321,21-03-2012,23,CNY,6.3243
20120322,22-03-2012,23,CNY,6.3203
20120323,23-03-2012,23,CNY,6.3107
20120324,24-03-2012,23,CNY,6.2915
20120325,25-03-2012,23,CNY,6.2915
20120326,26-03-2012,23,CNY,6.3084
20120327,27-03-2012,23,CNY,6.3128
20120328,28-03-2012,23,CNY,6.3172
20120329,29-03-2012,23,CNY,6.3178
20120330,30-03-2012,23,CNY,6.3122
20120331,31-03-2012,23,CNY,6.2925
20120401,01-04-2012,23,CNY,6.2925
20120402,02-04-2012,23,CNY,6.3049
20120403,03-04-2012,23,CNY,6.3044
20120404,04-04-2012,23,CNY,6.3094
20120405,05-04-2012,23,CNY,6.3127
