Brand_ID,CurrencyKey,UnitCost,Exch,EURO,SCD_EffectiveDate
ctoso0000273            ,7,5.8781,1.1,6.46591,10-01-2014
ctoso0000274            ,7,5.8781,1.1,6.46591,10-01-2014
ctoso0000275            ,7,6.5707,1.1,7.22777,10-01-2014
ctoso0000276            ,7,9.7673,1.1,10.74403,10-01-2014
ctoso0000277            ,7,9.7673,1.1,10.74403,10-01-2014
ctoso0000278            ,7,9.7673,1.1,10.74403,10-01-2014
ctoso0000279            ,7,9.7673,1.1,10.74403,10-01-2014
ctoso0000280            ,7,27.1531,1.1,29.86841,10-01-2014
ctoso0000281            ,7,27.1531,1.1,29.86841,10-01-2014
ctoso0000282            ,7,27.1531,1.1,29.86841,10-01-2014
ctoso0000283            ,7,27.1531,1.1,29.86841,10-01-2014
ctoso0000284            ,7,31.7171,1.1,34.88881,10-01-2014
ctoso0000285            ,7,31.7171,1.1,34.88881,10-01-2014
ctoso0000286            ,7,31.7171,1.1,34.88881,10-01-2014
ctoso0000287            ,7,31.7171,1.1,34.88881,10-01-2014
ctoso0000288            ,7,43.2907,1.1,47.61977,10-01-2014
ctoso0000289            ,7,43.2907,1.1,47.61977,10-01-2014
ctoso0000290            ,7,43.2907,1.1,47.61977,10-01-2014
ctoso0000291            ,7,43.2907,1.1,47.61977,10-01-2014
ctoso0000292            ,7,52.7605,1.1,58.03655,10-01-2014
ctoso0000293            ,7,52.7605,1.1,58.03655,10-01-2014
ctoso0000294            ,7,52.7605,1.1,58.03655,10-01-2014
ctoso0000295            ,7,52.7605,1.1,58.03655,10-01-2014
ctoso0000296            ,7,75.0686,1.1,82.57546,10-01-2014
ctoso0000297            ,7,75.0686,1.1,82.57546,10-01-2014
ctoso0000298            ,7,75.0686,1.1,82.57546,10-01-2014
ctoso0000299            ,7,75.0686,1.1,82.57546,10-01-2014
ctoso0000300            ,7,75.0686,1.1,82.57546,10-01-2014
ctoso0000301            ,7,72.3424,1.1,79.57664,10-01-2014
ctoso0000302            ,7,72.3424,1.1,79.57664,10-01-2014
ctoso0000303            ,7,72.3424,1.1,79.57664,10-01-2014
ctoso0000304            ,7,72.3424,1.1,79.57664,10-01-2014
ctoso0000305            ,7,72.3424,1.1,79.57664,10-01-2014
ctoso0000306            ,7,41.8865,1.1,46.07515,10-01-2014
ctoso0000307            ,7,41.8865,1.1,46.07515,10-01-2014
ctoso0000308            ,7,41.8865,1.1,46.07515,10-01-2014
ctoso0000309            ,7,88.03,1.1,96.833,10-01-2014
ctoso0000310            ,7,88.03,1.1,96.833,10-01-2014
ctoso0000311            ,7,88.03,1.1,96.833,10-01-2014
ctoso0000312            ,7,88.03,1.1,96.833,10-01-2014
ctoso0000313            ,7,87.1213,1.1,95.83343,10-01-2014
ctoso0000314            ,7,87.1213,1.1,95.83343,10-01-2014
ctoso0000315            ,7,87.1213,1.1,95.83343,10-01-2014
ctoso0000316            ,7,87.1213,1.1,95.83343,10-01-2014
ctoso0000317            ,7,87.1213,1.1,95.83343,10-01-2014
wwim 0000001            ,7,67.8827,1.1,74.67097,10-01-2014
wwim 0000002            ,7,67.8827,1.1,74.67097,10-01-2014
wwim 0000003            ,7,67.8827,1.1,74.67097,10-01-2014
wwim 0000004            ,7,81.6457,1.1,89.81027,10-01-2014
wwim 0000005            ,7,81.6457,1.1,89.81027,10-01-2014
wwim 0000006            ,7,81.6457,1.1,89.81027,10-01-2014
wwim 0000007            ,7,81.6457,1.1,89.81027,10-01-2014
wwim 0000008            ,7,83.9699,1.1,92.36689,10-01-2014
wwim 0000009            ,7,83.9699,1.1,92.36689,10-01-2014
wwim 0000010            ,7,83.9699,1.1,92.36689,10-01-2014
wwim 0000011            ,7,83.9699,1.1,92.36689,10-01-2014
wwim 0000012            ,7,68.0955,1.1,74.90505,10-01-2014
wwim 0000013            ,7,68.0955,1.1,74.90505,10-01-2014
wwim 0000014            ,7,68.0955,1.1,74.90505,10-01-2014
wwim 0000015            ,7,68.0955,1.1,74.90505,10-01-2014
wwim 0000016            ,7,67.9725,1.1,74.76975,10-01-2014
wwim 0000017            ,7,67.9725,1.1,74.76975,10-01-2014
wwim 0000018            ,7,67.9725,1.1,74.76975,10-01-2014
wwim 0000019            ,7,67.9725,1.1,74.76975,10-01-2014
wwim 0000020            ,7,67.9725,1.1,74.76975,10-01-2014
