ProductLabel,CurrencyKey,UnitCost,SCD_EffectiveDate
101001,1,7.1496,01-10-2013
101002,1,7.1496,01-10-2013
101003,1,7.992,01-10-2013
101004,1,11.88,01-10-2013
101005,1,11.88,01-10-2013
101006,1,11.88,01-10-2013
101007,1,11.88,01-10-2013
101008,1,33.0264,01-10-2013
101009,1,33.0264,01-10-2013
101010,1,33.0264,01-10-2013
101011,1,33.0264,01-10-2013
101012,1,38.5776,01-10-2013
101013,1,38.5776,01-10-2013
101014,1,38.5776,01-10-2013
101015,1,38.5776,01-10-2013
101016,1,52.0768,01-10-2013
101017,1,52.0768,01-10-2013
101018,1,52.0768,01-10-2013
101019,1,52.0768,01-10-2013
101020,1,63.4686,01-10-2013
101021,1,63.4686,01-10-2013
101022,1,63.4686,01-10-2013
101023,1,63.4686,01-10-2013
101024,1,91.93,01-10-2013
101025,1,91.93,01-10-2013
101026,1,91.93,01-10-2013
101027,1,91.93,01-10-2013
101028,1,91.93,01-10-2013
101029,1,87.0247,01-10-2013
101030,1,87.0247,01-10-2013
101031,1,87.0247,01-10-2013
101032,1,87.0247,01-10-2013
101033,1,87.0247,01-10-2013
101034,1,50.3876,01-10-2013
101035,1,50.3876,01-10-2013
101036,1,50.3876,01-10-2013
101037,1,107.0712,01-10-2013
101038,1,107.0712,01-10-2013
101039,1,107.0712,01-10-2013
101040,1,107.0712,01-10-2013
101041,1,106.69,01-10-2013
101042,1,106.69,01-10-2013
101043,1,106.69,01-10-2013
101044,1,106.69,01-10-2013
101045,1,106.69,01-10-2013
104001,1,82.566,01-10-2013
104002,1,82.566,01-10-2013
104003,1,82.566,01-10-2013
104004,1,99.306,01-10-2013
104005,1,99.306,01-10-2013
104006,1,99.306,01-10-2013
104007,1,99.306,01-10-2013
104008,1,101.0121,01-10-2013
104009,1,101.0121,01-10-2013
104010,1,101.0121,01-10-2013
104011,1,101.0121,01-10-2013
104012,1,81.9159,01-10-2013
104013,1,81.9159,01-10-2013
104014,1,81.9159,01-10-2013
104015,1,81.9159,01-10-2013
104016,1,83.24,01-10-2013
104017,1,83.24,01-10-2013
104018,1,83.24,01-10-2013
104019,1,83.24,01-10-2013
104020,1,83.24,01-10-2013
106001,1,14.148,01-10-2013
106002,1,14.148,01-10-2013
106003,1,14.148,01-10-2013
106004,1,14.148,01-10-2013
106005,1,23.814,01-10-2013
106006,1,23.814,01-10-2013
106007,1,23.814,01-10-2013
106008,1,23.814,01-10-2013
106009,1,17.9735,01-10-2013
106010,1,18.846,01-10-2013
106011,1,18.846,01-10-2013
106012,1,18.846,01-10-2013
106013,1,20.142,01-10-2013
106014,1,20.142,01-10-2013
106015,1,20.142,01-10-2013
106016,1,20.142,01-10-2013
106017,1,20.142,01-10-2013
106018,1,47.3594,01-10-2013
106019,1,47.3594,01-10-2013
106020,1,47.3594,01-10-2013
106021,1,47.3594,01-10-2013
106022,1,47.3594,01-10-2013
106023,1,51.1807,01-10-2013
106024,1,51.1807,01-10-2013
106025,1,51.1807,01-10-2013
106026,1,51.1807,01-10-2013
106027,1,51.1807,01-10-2013
106028,1,37.1088,01-10-2013
106029,1,37.1088,01-10-2013
106030,1,37.1088,01-10-2013
106031,1,37.1088,01-10-2013
106032,1,37.1088,01-10-2013
106033,1,55.18,01-10-2013
106034,1,55.18,01-10-2013
106035,1,55.18,01-10-2013
106036,1,55.18,01-10-2013
106037,1,54.4664,01-10-2013
106038,1,54.4664,01-10-2013
106039,1,54.4664,01-10-2013
106040,1,54.4664,01-10-2013
106041,1,61.16,01-10-2013
106042,1,61.16,01-10-2013
106043,1,61.16,01-10-2013
106044,1,61.16,01-10-2013
106045,1,61.16,01-10-2013
106046,1,85.3149,01-10-2013
106047,1,85.3149,01-10-2013
106048,1,85.3149,01-10-2013
106049,1,85.3149,01-10-2013
106050,1,85.3149,01-10-2013
201001,1,93.6036,01-10-2013
201002,1,93.6036,01-10-2013
201003,1,93.6036,01-10-2013
201004,1,66.0636,01-10-2013
201005,1,66.0636,01-10-2013
201006,1,66.0636,01-10-2013
201007,1,139.0608,01-10-2013
201008,1,139.0608,01-10-2013
201009,1,139.0608,01-10-2013
201010,1,78.9588,01-10-2013
201011,1,78.9588,01-10-2013
201012,1,78.9588,01-10-2013
201013,1,78.9588,01-10-2013
201014,1,110.1276,01-10-2013
201015,1,110.1276,01-10-2013
201016,1,110.1276,01-10-2013
201017,1,110.1276,01-10-2013
201018,1,173.8044,01-10-2013
201019,1,173.8044,01-10-2013
201020,1,173.8044,01-10-2013
201021,1,173.8044,01-10-2013
201022,1,236.8279,01-10-2013
201023,1,236.8279,01-10-2013
201024,1,236.8279,01-10-2013
201025,1,236.8279,01-10-2013
201026,1,157.5282,01-10-2013
201027,1,157.5282,01-10-2013
201028,1,157.5282,01-10-2013
201029,1,157.5282,01-10-2013
201030,1,960.82,01-10-2013
201031,1,960.82,01-10-2013
201032,1,960.82,01-10-2013
201033,1,960.82,01-10-2013
201034,1,404.378,01-10-2013
201035,1,404.378,01-10-2013
201036,1,404.378,01-10-2013
201037,1,404.378,01-10-2013
201038,1,233.4096,01-10-2013
201039,1,233.4096,01-10-2013
201040,1,233.4096,01-10-2013
201041,1,233.4096,01-10-2013
201042,1,505.85,01-10-2013
201043,1,505.85,01-10-2013
201044,1,505.85,01-10-2013
201045,1,505.85,01-10-2013
201046,1,543.3559,01-10-2013
201047,1,543.3559,01-10-2013
201048,1,543.3559,01-10-2013
201049,1,543.3559,01-10-2013
201050,1,420.4008,01-10-2013
202001,1,54.72,01-10-2013
202002,1,37.9944,01-10-2013
202003,1,64.0656,01-10-2013
202004,1,59.0976,01-10-2013
202005,1,54.1404,01-10-2013
202006,1,46.8959,01-10-2013
202007,1,55.99,01-10-2013
202008,1,49.4964,01-10-2013
202009,1,44.3312,01-10-2013
202010,1,53.76,01-10-2013
202011,1,63.0288,01-10-2013
202012,1,31.3308,01-10-2013
202013,1,36.342,01-10-2013
202014,1,54.72,01-10-2013
202015,1,37.9944,01-10-2013
202016,1,64.0656,01-10-2013
202017,1,59.0976,01-10-2013
202018,1,54.1404,01-10-2013
202019,1,46.8959,01-10-2013
202020,1,55.99,01-10-2013
202021,1,49.4964,01-10-2013
202022,1,44.3312,01-10-2013
202023,1,53.76,01-10-2013
202024,1,63.0288,01-10-2013
202025,1,31.3308,01-10-2013
202026,1,36.342,01-10-2013
203001,1,283.7238,01-10-2013
203002,1,347.1552,01-10-2013
203003,1,164.6352,01-10-2013
203004,1,302.6655,01-10-2013
203005,1,148.608,01-10-2013
203006,1,165.132,01-10-2013
203007,1,275.46,01-10-2013
203008,1,269.5098,01-10-2013
203009,1,260.0441,01-10-2013
203010,1,331.0832,01-10-2013
203011,1,342.198,01-10-2013
